,mean_residual,l2_relative_error,mse,method,ratio,seed,n_iterations,num_domain,num_boundary,num_initial,n_candidate_points,hard_constrained,model_version,influence_sign
6641,0.022338212000000003,0.04938379571028104,0.0009204135564433863,IF,0.03,6,50000,2540,80,160,10000,True,10k,abs
6642,0.011050215,0.027614729710993883,0.00028780323112056485,IF,0.04,7,50000,2540,80,160,10000,True,train,pos
6643,0.011607289,0.02698313588965021,0.00027478872746353216,IF,0.04,7,50000,2540,80,160,10000,True,test,pos
6644,0.011050215,0.027614729710993883,0.00028780323112056485,IF,0.04,7,50000,2540,80,160,10000,True,10k,pos
6645,0.011370486,0.024766904651017836,0.00023150348661896678,IF,0.02,8,10000,2540,80,160,10000,False,train,pos
6646,0.011370486,0.024766904651017836,0.00023150348661896678,IF,0.02,8,10000,2540,80,160,10000,False,test,pos
6647,0.011370486,0.024766904651017836,0.00023150348661896678,IF,0.02,8,10000,2540,80,160,10000,False,10k,pos
6648,0.0198186,0.056880759205598125,0.00122108203192852,IF,0.01,6,50000,2540,80,160,10000,True,train,abs
6649,0.0198186,0.056880759205598125,0.00122108203192852,IF,0.01,6,50000,2540,80,160,10000,True,test,abs
6650,0.0198186,0.056880759205598125,0.00122108203192852,IF,0.01,6,50000,2540,80,160,10000,True,10k,abs
6651,0.0067953677,0.017339729384414648,0.00011347461095325049,random,0.03,5,50000,2540,80,160,10000,False,train,abs
6652,0.00703015,0.017823600047130274,0.00011989606461130042,random,0.03,5,50000,2540,80,160,10000,False,test,abs
6653,0.0067953677,0.017339729384414648,0.00011347461095325049,random,0.03,5,50000,2540,80,160,10000,False,10k,abs
6654,0.017666478,0.1386644415181123,0.007256785489354792,RAR,0.04,7,50000,2540,80,160,10000,False,train,abs
6655,0.017666478,0.1386644415181123,0.007256785489354792,RAR,0.04,7,50000,2540,80,160,10000,False,test,abs
6656,0.017666478,0.1386644415181123,0.007256785489354792,RAR,0.04,7,50000,2540,80,160,10000,False,10k,abs
6657,0.021294111,0.02161913198627676,0.0001763967493680862,IF,0.05,6,50000,2540,80,160,10000,True,train,neg
